ID_Tempo;Cod_Tempo;Data;Numero_Dia_Semana;Numero_Mes;Numero_Ano;Nome_Mes;Numero_Trimestre;Nome_Trimestre;Numero_Semestre;Nome_Semestre
61;20130302;01/03/2013;7;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
62;20130303;02/03/2013;1;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
63;20130304;03/03/2013;2;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
64;20130305;04/03/2013;3;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
65;20130306;05/03/2013;4;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
66;20130307;06/03/2013;5;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
67;20130308;07/03/2013;6;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
68;20130309;08/03/2013;7;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
69;20130310;09/03/2013;1;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
70;20130311;10/03/2013;2;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
71;20130312;11/03/2013;3;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
72;20130313;12/03/2013;4;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
73;20130314;13/03/2013;5;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
74;20130315;14/03/2013;6;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
75;20130316;15/03/2013;7;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
76;20130317;16/03/2013;1;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
77;20130318;17/03/2013;2;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
78;20130319;18/03/2013;3;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
79;20130320;19/03/2013;4;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
80;20130321;20/03/2013;5;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
81;20130322;21/03/2013;6;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
82;20130323;22/03/2013;7;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
83;20130324;23/03/2013;1;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
84;20130325;24/03/2013;2;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
85;20130326;25/03/2013;3;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
86;20130327;26/03/2013;4;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
87;20130328;27/03/2013;5;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
88;20130329;28/03/2013;6;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
89;20130330;29/03/2013;7;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
90;20130331;30/03/2013;1;3;2013;Março;1;Primeiro Trimestre;1;Primeiro Semestre
91;20130401;31/03/2013;2;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
92;20130402;01/04/2013;3;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
93;20130403;02/04/2013;4;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
94;20130404;03/04/2013;5;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
95;20130405;04/04/2013;6;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
96;20130406;05/04/2013;7;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
97;20130407;06/04/2013;1;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
98;20130408;07/04/2013;2;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
99;20130409;08/04/2013;3;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
100;20130410;09/04/2013;4;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
101;20130411;10/04/2013;5;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
102;20130412;11/04/2013;6;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
103;20130413;12/04/2013;7;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
104;20130414;13/04/2013;1;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
105;20130415;14/04/2013;2;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
106;20130416;15/04/2013;3;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
107;20130417;16/04/2013;4;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
108;20130418;17/04/2013;5;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
109;20130419;18/04/2013;6;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
110;20130420;19/04/2013;7;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
111;20130421;20/04/2013;1;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
112;20130422;21/04/2013;2;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
113;20130423;22/04/2013;3;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
114;20130424;23/04/2013;4;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
115;20130425;24/04/2013;5;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
116;20130426;25/04/2013;6;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
117;20130427;26/04/2013;7;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
118;20130428;27/04/2013;1;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
119;20130429;28/04/2013;2;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
120;20130430;29/04/2013;3;4;2013;Abril;2;Segundo Trimestre;1;Primeiro Semestre
121;20130501;30/04/2013;4;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
122;20130502;01/05/2013;5;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
123;20130503;02/05/2013;6;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
124;20130504;03/05/2013;7;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
125;20130505;04/05/2013;1;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
126;20130506;05/05/2013;2;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
127;20130507;06/05/2013;3;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
128;20130508;07/05/2013;4;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
129;20130509;08/05/2013;5;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
130;20130510;09/05/2013;6;5;2013;Maio;2;Segundo Trimestre;1;Primeiro Semestre
